ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
148,ENSG00000125520.13,SLC2A4RG,chr20,+,63742335,63742615,63742335,63742364,63742698,63742790,148,280,0,,,150,75,,,1,,,ENSG00000125520
814,ENSG00000140983.13,RHOT2,chr16,+,668104,668236,668104,668154,668352,668411,814,66,2,,,150,75,,,0.943,,,ENSG00000140983
815,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668655,668699,815,90,5,,,150,75,,,0.9,,,ENSG00000140983
964,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42722794,42722915,964,19,3,,,102,75,,,0.823,,,ENSG00000108799
965,ENSG00000108799.12,EZH1,chr17,-,42727634,42727763,42727661,42727763,42724304,42724424,965,47,0,,,102,75,,,1,,,ENSG00000108799
1296,ENSG00000076108.11,BAZ2A,chr12,-,56601179,56601402,56601245,56601402,56600942,56601098,1296,117,0,,,141,75,,,1,,,ENSG00000076108
1553,ENSG00000131626.16,PPFIA1,chr11,+,70338373,70338453,70338373,70338434,70339170,70339306,1553,63,0,,,94,75,,,1,,,ENSG00000131626
1554,ENSG00000131626.16,PPFIA1,chr11,+,70339170,70339311,70339170,70339306,70343668,70343892,1554,2,41,,,80,75,,,0.044,,,ENSG00000131626
2776,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647724,7647873,2776,3,0,,,150,75,,,1,,,ENSG00000076944
4423,ENSG00000118900.14,UBN1,chr16,+,4860663,4861102,4860663,4860953,4868832,4868903,4423,74,2,,,150,75,,,0.949,,,ENSG00000118900
4493,ENSG00000140553.17,UNC45A,chr15,+,90934943,90935330,90934943,90935100,90935543,90935705,4493,12,0,,,150,75,,,1,,,ENSG00000140553
4494,ENSG00000140553.17,UNC45A,chr15,+,90935284,90935375,90935284,90935330,90935543,90935705,4494,4,11,,,120,75,,,0.185,,,ENSG00000140553
4526,ENSG00000086848.14,ALG9,chr11,-,111870227,111870370,111870231,111870370,111868601,111868736,4526,1,4,,,79,75,,,0.192,,,ENSG00000086848
