ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
388,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,388,121,8,,,150,150,,,0.938,,,ENSG00000090905
473,ENSG00000103994.16,ZNF106,chr15,-,42442072,42442414,42444201,42444262,42439032,42439813,42444826,42444981,473,308,275,,,136,150,,,0.553,,,ENSG00000103994
500,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,500,33,51,,,150,150,,,0.393,,,ENSG00000108799
501,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,501,47,46,,,150,150,,,0.505,,,ENSG00000108799
832,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,832,48,10,,,150,105,,,0.771,,,ENSG00000131626
1066,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1066,1,0,,,150,150,,,1,,,ENSG00000143748
1477,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1477,53,51,,,133,147,,,0.535,,,ENSG00000116171
1478,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1478,93,55,,,147,150,,,0.633,,,ENSG00000116171
1479,ENSG00000116171.17,SCP2,chr1,+,52950754,52950886,52954739,52954804,52948008,52948080,52961502,52961629,1479,52,66,,,150,140,,,0.424,,,ENSG00000116171
1480,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1480,162,211,,,150,150,,,0.434,,,ENSG00000116171
1696,ENSG00000085832.16,EPS15,chr1,-,51405904,51406108,51408134,51408332,51403418,51403532,51409534,51409696,1696,88,67,,,150,150,,,0.568,,,ENSG00000085832
2203,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2203,2,0,,,150,150,,,1,,,ENSG00000087903
2773,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,2773,5,11,,,150,111,,,0.252,,,ENSG00000095794
2832,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,2832,13,13,,,150,150,,,0.5,,,ENSG00000086848
3292,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3292,0,0,,,98,150,,,,,,ENSG00000132256
